date,platform,title,company,location,link,status
2026-01-30 17:35:15,LinkedIn,"Assistente financeiro
Assistente financeiro",Empório Quatro Estrelas,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4367618074/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvQstintABmwfSCtCTrssQ%3D%3D&trackingId=5UI%2BbRvMm5NTJbpQz5BaLA%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:36:04,LinkedIn,"Estagiário
Estagiário with verification",J&T Express Brasil,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4346607044/?eBP=CwEAAAGcEJtrhhpl_uDnx0fmHY8J5fY1HE3pG3bpmgXWYoGvdSOuxPT03MNRu81dgXAtrmvM38OXCQoPrXCFtdmLFnoOLmgB4zt5iuLAkhEF8pR-qlvSpoyvilmcXS8bLe5eVIVMa2WKE_Gc9kIesckMmEdGTAGQAP1HgyZd60yKGVDLVjwlwIPVLC9Ati0-wgWQXFRB56fEry2CyUWVBg-18WE_TPtSUYIdobZVgrDBWCjS5nXrlWoisuZb6V6pQVvP1kRyXFM_oy4SCAQ-H4Ak-xWjJEc2mXrHW_IqiCsBPiAtNpcncMNfliUxx4ckuGmSTrchDTVZGpP8etxQcKgOBWQdG6pWEkuiwRRU99KsKLIgYBfdrp8VGFlgFqYFtLBzU8_LTgKWWJH5IIwZpLPPE6v7cBDLLm3shTco9kn0enpGYZ5ILnr-RlVVcEQDw-fW0eKnVbqk22kAkLRO1bpSRGbDEUosIXz4gTMZtCVdPyFfJf_lid2lLOO3hRdoCIp6BtpzMzCsT7vqNPHlpfc3tgaoJI7NO1g73xa8nLsndJsitS27a_9R&refId=WvQstintABmwfSCtCTrssQ%3D%3D&trackingId=Snwvbc6hVT%2B4ZdAx75DbQA%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:36:56,LinkedIn,"Estágio em Marketing de Produtos
Estágio em Marketing de Produtos with verification","Stanley Black & Decker, Inc.","São Paulo, São Paulo, Brasil (Híbrido)",https://www.linkedin.com/jobs/view/4365861661/?eBP=CwEAAAGcEJtrhjBbd0tYqg4DAiBLYEapJlbzFK57e4pDq_bJsxczHQdOaqTOoXrFiiLwvtuNp2zN_wZEeiice5muRg_DCKus1j9k3k1pXUER04ea2WZR9fmRKXHvtICzYKfSYfag4O6UEb4SBv6FvyD8RAbql2Dowz_XNjgcONGusLKcWEIh47DEYPbv-oGc-_S9pPWYsFZL_uJ84huafydUilyFtYldvteD2-pa7DzWmCOk_1Iqgm2Sph9cx-823rgwmo3_49Se62ZBxLv-skZUMpYA4C_NQytqxRx_DSHCkMy3mdjqPy50QUxOQCjAjNVFUPqyQCBGAvE1jzjUb2Cv45bBaggJXXu7tHzR9VOtX6q4owQiuMEaATRV7RuRAjn4ihTl82X3z01zkPRe7_Kc2HwR_7RSMyCTTuY2nm3kJrnwgJvFIBEGm3GihdPawQK5MJvTqGY0gedGr4Ic_z939TkkuPX-hJgWKh_BwHzqLyGSyBIFaOswbcZVNttLK7P7tndz7KD3dT7h9xCRZCSw0MMYzdGVgkmtgw&refId=WvQstintABmwfSCtCTrssQ%3D%3D&trackingId=zBTan1sOve7GL7491LKtHw%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:37:45,LinkedIn,"Estágio em Desenvolvimento de Rede de Concessionárias
Estágio em Desenvolvimento de Rede de Concessionárias with verification",Hyundai Motor Company,"São Paulo, São Paulo, Brasil (Híbrido)",https://www.linkedin.com/jobs/view/4366206037/?eBP=CwEAAAGcEJtrhsyMR0VKXH9ypzIaEs--RXmCPKgWmkVTlyGX8F9kqkkburT2jP5FmsvE7Pd-B7xOv3OmnWzUHnOie6G2mOarUI5aPx5sI6tOZ6GfXcAwz9Rn07kOaRFfwmwKzwnfEyD8k0l3Exhn3KiuwEUQHzrGv9eZ7LcA861s4FbAbscW-6iZzYFAmydLgUkLs_I6YBrb4ifSyUMsBbnSoN0qGNsOWkB5x7hu4W7U9xuO38Q_SnYj6Zd4z6BdpGur6U3TP4H9xKhGuNqHBAyBS3t6p8PrTEoBHqotfiYJ6Yi7bMYuwQvrsXW_0ic5JlSVX7DOOQuZEgyBnD2TknLssembV_d24HDIFE4HzfBweHj8bXU1r2P3o08-Zpyzdcuf6D3nG55bG-n2NooOT1k43T2rL2vhiuxV5YFbeuAtr0HUg-cmPyDt6Dm6F2iLdubAn0HVry_1X1NqrqprssTB84IUy2qf3s7Wi5NEqi9yG-hTrWxz0vw49OmCq-t3EY5rWpl8BvbhHDaVz0a0hCEV9JQW8IRt6HyqNJaW&refId=WvQstintABmwfSCtCTrssQ%3D%3D&trackingId=O9VZiDnn21Gwz91LdbuQBg%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:38:24,Indeed,Especialista de Relacionamento III - Atendimento Mídias Sociais (Banco de Investimentos) - Unidade Sede (Zona Sul de São Paulo),Atento Brasil,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=e95cd83448f34643&bb=kHc29zo7rx0OPunimVMFpAVtlmmIfWk14OQDyf6qbc5T5Z6tv3rZgSMvmh0p43EpDK3EmEBy4sz-atw_ISdy0Cul_NKJMM-RS24jV8Qhys6kLQSxfllWvupv_M9-ujdi5hAqTl14FIhyMNKm3DtiHJgO1yP_xr3N&xkcb=SoCy67M3nIbS3uSRDJ0LbzkdCdPP&fccid=28ba5f1b6307faa6&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:38:52,Indeed,Líder / Analista Projetos Sr.,VENHA SER #SANGUELARANJA,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=3cde32d2ac7989a0&bb=kHc29zo7rx0OPunimVMFpE-Qhy4qtK6hdtKpaBurNY0wvnkqvokSvUJkzfUyettU3MYn4tiDp98HNTodjIUfGn_hStoCGC84zSNbckQzCkAXmyxoYh_HqAe7e5WvkDx8oBbDBPBZzbRysnT3AXHmumk86seU_gX-&xkcb=SoAG67M3nIbS3uSRDJ0KbzkdCdPP&fccid=6a5f5525abe44fdf&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:39:28,Indeed,Gerente Geral,HotelConsult,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=21867b8c6eb1c36b&bb=kHc29zo7rx0OPunimVMFpD43NUP55qfsc8yOar7ef9MeqCR5kX0bgh64t9HLaZyY2wpbAu9BGldbR5Q5yLFjRi0U_A4QGN6a-WJ8lJAbmfxmCJPx9vh1bLhoNguBJzFlipt8K3TPFBBcCqWeztZQEBf3-Px_eafD&xkcb=SoAv67M3nIbS3uSRDJ0IbzkdCdPP&fccid=c41c7cd0450f9835&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:41:45,LinkedIn,"Cobranças
Cobranças with verification",Salem Advogados,"Barueri, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356771674/?eBP=CwEAAAGcEKLz8Z-kjezXP9Ei7kgEEe20yTzG9eWp3RMlm2fJhZpKJKZkIgYOAdqJyT7EDcsn2Gm3DuzBlpj2yGiMZaU6QfFm8G2Ab50mJPFH9h3uuX9JFlHbwU4eCWAygex7NRnBdbKzoy-xPpG4uG1MBnGarq0G4DKI6s4-4Tau0EJoXGleqjXCMqEzBy-HBBWbF9881yRVTwlgBish1Op-lX1FAdksQHajeJJrrgIkkWdfCYbE06Hi3BLTHtBobqW3avRdKz5PJTvXVw6vxDF_yFWmCKL6StnNmb4q758blZHUYlQkmjOr1Uvs8_0KFh5vXaTji5CQOJmcu9fmFOgpBEtTPtDJ-AOamspYh6GRf3oe1Vve7VdM1kmjXtqLnGEYQBzAokvlmsussaxUhv_x7ScL_zQP8OC_7JxRKvWCyoaAgJOekjQRgrkkfbMUGW1RXodqXqypGDl2AsOO3pztWkzBLkWFDMm_OjL_42q6vc1lRDcFHD7MrwmbvVscPVDHyR9NX07auQ00aUl82UtQRl_SbA_JsEcQFdmgfl2Eaq5eblq1hiKDEvq4mIKfWSbxYTUlAmmTGBIomg&refId=TZSzcZH8TwbJfBSXW52ynQ%3D%3D&trackingId=sIVLZ3slIibOcuDvshOQGQ%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:42:36,LinkedIn,"Especialista em cobranças
Especialista em cobranças",CashGO,Brasil (Remoto),https://www.linkedin.com/jobs/view/4367472925/?eBP=CwEAAAGcEKLz8aogN89QBQoOtK2trRtJ1WKbiGnyYjPSKsea-oSZirR-VLUE8SkUjZc1P9ciTjWADrRpnUvoWNHn-s60AUqeGWGEOOqUyCKqx0A1YnYyDIumUqXO3S9Ydiv8ujwyA3ge5oYMZl_W6wmdrqO-oOPXJDmrBlghPLhUm77fwDKJirvvT0-W_SDb_xagb1y65Njz0a0r066qZ8fYc2GYZf0llcGKQ1gzm9VnCY4uFaaAB9opYRCToIYIzSTFntMgySX-CTu65U1s0FAhOrc-PD6hdCks3q27tWxSBTFj8aq0RG4nvVK66LGO-2mM-XfXmJ80SblHYNVLviQ0FsciysJ7UfndbueSO3SeA08eATHgkkNTce8XYfx4A3K6NrDI-ngPU-42qHxv3ocSSGkZHzRn50fNT3cp3yehPFEoFSaD6o40w29n695BJdzOPCD9_Wy34xO7GdQZj7JCGIzif9aK6P_0kQPZrdo_4E-ltlW47JyoatTgAB3g6odSi57DJ6duCzXMV-l-F2bl-y_bp5Ipey3ZKQxX0Kf4MqA&refId=TZSzcZH8TwbJfBSXW52ynQ%3D%3D&trackingId=27E5703XPvW5GrFR0vwtwA%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:44:40,LinkedIn,"Analista de recrutamento e seleção
Analista de recrutamento e seleção","IMPAKTO - Higiene, Limpeza e Descartáveis","Embu das Artes, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356820076/?eBP=CwEAAAGcEKWsOQ7X2qYa3IsTPdw2QOxjAlq8EAvr8UBGF1jSXikrwwv--1S5tRAzEClHRvsG6oop58sHbplccp2bV2GjR48e1bg4raKyGGCGVvIZrOVrqLbfWaAwCWFwFtmCzclqtqYybPsY0dhCqtLv_f4ShXl3AW4Tizbz1Sn4MVxoC_bAejXgI_ueP0QSFG6WqIdJIwyy-8VZABIHpQ61X9fU479eaNqsjRCtWcgmG4QWRq1_wgMT_naeG56ZRHLdlzxariv0Nm9ar-bbmrILWKSmTryaeHArwIAZQG9noGmZCE-YgBDoJqCQi3k4kevaYtAfsflTeoWhMPBmA9_OToi8eD9OIphtsYNwePlBcKtOTu4pkSwWQQJ2zFbZTzAiejFE04xfohi9BqoioaE3CNJvIV8jRzRiFrv20VRRUGsIRRU6LF0Bpm_C9WIlJHZdCTTwbk29jjZhQhBggA-Jwkxnw0ozDIuXQiu9QEU8a4apfz_zU_z4KnRVxphHZB9_V9G9hcD4oE-szj2OrLdIQVF26UW7HnkjKJrUlo3eF-AtEBfFZI5IpQ&refId=bgv%2BVGv2mGHW6ad4giAJsA%3D%3D&trackingId=ZQF%2FuzKZAAXufc%2BJd0I9ew%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
